Brawl Brothers;beat'em all;1993;12;Super NES;
Breath of Fire;rpg;1993;12;Super NES;
Breath of Fire II;rpg;1994;12;Super NES;
Demon's Crest;action;1994;12;Super NES;
Donkey Kong Country;plateforme;1994;12;Super NES;
Donkey Kong Country 2: Diddy Kong s Quest;plateforme;1995;12;Super NES;
F-Zero;course;1991;12;Super NES;
Joe and Mac 3: Lost in the Tropics;plateforme;1994;12;Super NES;
Kirby's Dream Course;course;1995;12;Super NES;
Kirby's Dream Land 3;plateforme;1997;12;Super NES;
Kirby's Fun Pak;mini-jeux;1996;12;Super NES;
Mario s Super Picross;;1995;12;Super NES;
Natsume Championship Wrestling ;combat;1994;12;Super NES;
Pilotwings;simulation;1992;12;Super NES;
Pop'n TwinBee;shoot'em up;1993;12;Super NES;
Smash Tennis;sport;1994;12;Super NES;
Star Fox;shoot'em up;1993;12;Super NES;
Star Fox 2;shoot'em up;2017;12;Super NES;
Stunt Race FX;course;1994;12;Super NES;
Super E.D.F Earth Defence Force;shoot'em up;1991;12;Super NES;
Super Ghouls'n Ghosts;action;1992;12;Super NES;
Super Mario Kart;course;1993;12;Super NES;
Super Mario World;plateforme;1992;12;Super NES;
Super Mario World 2: Yoshi's Island;plateforme;1995;12;Super NES;
Super Metroid;action;1994;12;Super NES;
Super Punch-Out!!;sport;1994;12;Super NES;
Super Puyo Puyo 2;puzzle;1995;12;Super NES;
Super Soccer;sport;1992;12;Super NES;
Super Tennis;sport;1992;12;Super NES;
The Legend of Zelda: A Link to the Past;rpg;1992;12;Super NES;
The Peace Keepers;beat'em all;1993;12;Super NES;
